algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns,tiempo_orden_ns
binaria,1000,centro,9,9,100,117900
lineal,1000,centro,10,501,500,0
binaria,1000,centro,10,9,100,117900
lineal,1000,centro,11,501,700,0
binaria,1000,centro,11,9,100,117900
lineal,1000,centro,12,501,700,0
binaria,1000,centro,12,9,100,117900
lineal,1000,centro,13,501,600,0
binaria,1000,centro,13,9,100,117900
lineal,1000,centro,14,501,600,0
binaria,1000,centro,14,9,100,117900
lineal,1000,centro,15,501,500,0
binaria,1000,centro,15,9,100,117900
lineal,1000,centro,16,501,500,0
binaria,1000,centro,16,9,100,117900
lineal,1000,centro,17,501,500,0
binaria,1000,centro,17,9,100,117900
lineal,1000,centro,18,501,600,0
binaria,1000,centro,18,9,100,117900
lineal,1000,centro,19,501,500,0
binaria,1000,centro,19,9,100,117900
lineal,1000,centro,20,501,600,0
binaria,1000,centro,20,9,100,117900
lineal,1000,centro,21,501,500,0
binaria,1000,centro,21,9,100,117900
lineal,1000,centro,22,501,500,0
binaria,1000,centro,22,9,200,117900
lineal,1000,centro,23,501,600,0
binaria,1000,centro,23,9,100,117900
lineal,1000,centro,24,501,600,0
binaria,1000,centro,24,9,100,117900
lineal,1000,centro,25,501,700,0
binaria,1000,centro,25,9,200,117900
lineal,1000,centro,26,501,800,0
binaria,1000,centro,26,9,200,117900
lineal,1000,centro,27,501,600,0
binaria,1000,centro,27,9,100,117900
lineal,1000,centro,28,501,500,0
binaria,1000,centro,28,9,100,117900
lineal,1000,centro,29,501,600,0
binaria,1000,centro,29,9,100,117900
lineal,1000,final,0,1000,900,0
binaria,1000,final,0,10,19800,117900
lineal,1000,final,1,1000,1100,0
binaria,1000,final,1,10,100,117900
lineal,1000,final,2,1000,1100,0
binaria,1000,final,2,10,100,117900
lineal,1000,final,3,1000,1000,0
binaria,1000,final,3,10,100,117900
lineal,1000,final,4,1000,1000,0
binaria,1000,final,4,10,100,117900
lineal,1000,final,5,1000,1500,0
binaria,1000,final,5,10,100,117900
lineal,1000,final,6,1000,1000,0
binaria,1000,final,6,10,100,117900
lineal,1000,final,7,1000,900,0
binaria,1000,final,7,10,0,117900
lineal,1000,final,8,1000,900,0
binaria,1000,final,8,10,100,117900
lineal,1000,final,9,1000,1100,0
binaria,1000,final,9,10,100,117900
lineal,1000,final,10,1000,900,0
binaria,1000,final,10,10,100,117900
lineal,1000,final,11,1000,1100,0
binaria,1000,final,11,10,100,117900
lineal,1000,final,12,1000,1200,0
binaria,1000,final,12,10,100,117900
lineal,1000,final,13,1000,1000,0
binaria,1000,final,13,10,100,117900
lineal,1000,final,14,1000,1000,0
binaria,1000,final,14,10,100,117900
lineal,1000,final,15,1000,900,0
binaria,1000,final,15,10,100,117900
lineal,1000,final,16,1000,1000,0
binaria,1000,final,16,10,100,117900
lineal,1000,final,17,1000,1000,0
binaria,1000,final,17,10,100,117900
lineal,1000,final,18,1000,1000,0
binaria,1000,final,18,10,100,117900
lineal,1000,final,19,1000,1000,0
binaria,1000,final,19,10,100,117900
lineal,1000,final,20,1000,1000,0
binaria,1000,final,20,10,100,117900
lineal,1000,final,21,1000,1000,0
binaria,1000,final,21,10,100,117900
lineal,1000,final,22,1000,900,0
binaria,1000,final,22,10,100,117900
lineal,1000,final,23,1000,1100,0
binaria,1000,final,23,10,100,117900
lineal,1000,final,24,1000,1100,0
binaria,1000,final,24,10,100,117900
lineal,1000,final,25,1000,1000,0
binaria,1000,final,25,10,100,117900
lineal,1000,final,26,1000,900,0
binaria,1000,final,26,10,100,117900
lineal,1000,final,27,1000,900,0
binaria,1000,final,27,10,100,117900
lineal,1000,final,28,1000,1000,0
binaria,1000,final,28,10,100,117900
lineal,1000,final,29,1000,1200,0
binaria,1000,final,29,10,100,117900
lineal,1000,ausente,0,1000,1000,0
binaria,1000,ausente,0,10,200,117900
lineal,1000,ausente,1,1000,1000,0
binaria,1000,ausente,1,10,200,117900
lineal,1000,ausente,2,1000,1300,0
binaria,1000,ausente,2,10,100,117900
lineal,1000,ausente,3,1000,1100,0
binaria,1000,ausente,3,10,200,117900
lineal,1000,ausente,4,1000,1000,0
binaria,1000,ausente,4,10,100,117900
lineal,1000,ausente,5,1000,1100,0
binaria,1000,ausente,5,10,100,117900
lineal,1000,ausente,6,1000,1000,0
binaria,1000,ausente,6,10,100,117900
lineal,1000,ausente,7,1000,1200,0
binaria,1000,ausente,7,10,100,117900
lineal,1000,ausente,8,1000,1000,0
binaria,1000,ausente,8,10,100,117900
lineal,1000,ausente,9,1000,1000,0
binaria,1000,ausente,9,10,200,117900
lineal,1000,ausente,10,1000,1000,0
binaria,1000,ausente,10,10,100,117900
lineal,1000,ausente,11,1000,1200,0
binaria,1000,ausente,11,10,100,117900
lineal,1000,ausente,12,1000,900,0
binaria,1000,ausente,12,10,200,117900
lineal,1000,ausente,13,1000,1100,0
binaria,1000,ausente,13,10,100,117900
lineal,1000,ausente,14,1000,1000,0
binaria,1000,ausente,14,10,100,117900
lineal,1000,ausente,15,1000,1000,0
binaria,1000,ausente,15,10,200,117900
lineal,1000,ausente,16,1000,900,0
binaria,1000,ausente,16,10,200,117900
lineal,1000,ausente,17,1000,1100,0
binaria,1000,ausente,17,10,100,117900
lineal,1000,ausente,18,1000,1000,0
binaria,1000,ausente,18,10,100,117900
lineal,1000,ausente,19,1000,1000,0
binaria,1000,ausente,19,10,100,117900
lineal,1000,ausente,20,1000,900,0
binaria,1000,ausente,20,10,100,117900
lineal,1000,ausente,21,1000,1100,0
binaria,1000,ausente,21,10,200,117900
lineal,1000,ausente,22,1000,1100,0
binaria,1000,ausente,22,10,100,117900
lineal,1000,ausente,23,1000,1000,0
binaria,1000,ausente,23,10,100,117900
lineal,1000,ausente,24,1000,1400,0
binaria,1000,ausente,24,10,100,117900
lineal,1000,ausente,25,1000,900,0
binaria,1000,ausente,25,10,100,117900
lineal,1000,ausente,26,1000,1000,0
binaria,1000,ausente,26,10,100,117900
lineal,1000,ausente,27,1000,900,0
binaria,1000,ausente,27,10,100,117900
lineal,1000,ausente,28,1000,900,0
binaria,1000,ausente,28,10,200,117900
lineal,1000,ausente,29,1000,1000,0
binaria,1000,ausente,29,10,100,117900
lineal,10000,inicio,0,1,100,0
binaria,10000,inicio,0,13,200,1224000
lineal,10000,inicio,1,1,100,0
binaria,10000,inicio,1,13,100,1224000
lineal,10000,inicio,2,1,100,0
binaria,10000,inicio,2,13,100,1224000
lineal,10000,inicio,3,1,100,0
binaria,10000,inicio,3,13,100,1224000
lineal,10000,inicio,4,1,100,0
binaria,10000,inicio,4,13,100,1224000
lineal,10000,inicio,5,1,100,0
binaria,10000,inicio,5,13,100,1224000
lineal,10000,inicio,6,1,100,0
binaria,10000,inicio,6,13,100,1224000
lineal,10000,inicio,7,1,100,0
binaria,10000,inicio,7,13,100,1224000
lineal,10000,inicio,8,1,100,0
binaria,10000,inicio,8,13,100,1224000
lineal,10000,inicio,9,1,0,0
binaria,10000,inicio,9,13,100,1224000
lineal,10000,inicio,10,1,0,0
binaria,10000,inicio,10,13,100,1224000
lineal,10000,inicio,11,1,100,0
binaria,10000,inicio,11,13,100,1224000
lineal,10000,inicio,12,1,100,0
binaria,10000,inicio,12,13,100,1224000
lineal,10000,inicio,13,1,100,0
binaria,10000,inicio,13,13,100,1224000
lineal,10000,inicio,14,1,100,0
binaria,10000,inicio,14,13,100,1224000
lineal,10000,inicio,15,1,100,0
binaria,10000,inicio,15,13,100,1224000
lineal,10000,inicio,16,1,100,0
binaria,10000,inicio,16,13,100,1224000
lineal,10000,inicio,17,1,100,0
binaria,10000,inicio,17,13,0,1224000
lineal,10000,inicio,18,1,100,0
binaria,10000,inicio,18,13,100,1224000
lineal,10000,inicio,19,1,100,0
binaria,10000,inicio,19,13,100,1224000
lineal,10000,inicio,20,1,100,0
binaria,10000,inicio,20,13,100,1224000
lineal,10000,inicio,21,1,100,0
binaria,10000,inicio,21,13,200,1224000
lineal,10000,inicio,22,1,100,0
binaria,10000,inicio,22,13,100,1224000
lineal,10000,inicio,23,1,100,0
binaria,10000,inicio,23,13,100,1224000
lineal,10000,inicio,24,1,100,0
binaria,10000,inicio,24,13,100,1224000
lineal,10000,inicio,25,1,100,0
binaria,10000,inicio,25,13,100,1224000
lineal,10000,inicio,26,1,0,0
binaria,10000,inicio,26,13,100,1224000
lineal,10000,inicio,27,1,100,0
binaria,10000,inicio,27,13,100,1224000
lineal,10000,inicio,28,1,100,0
binaria,10000,inicio,28,13,100,1224000
lineal,10000,inicio,29,1,100,0
binaria,10000,inicio,29,13,100,1224000
lineal,10000,centro,0,5001,4100,0
binaria,10000,centro,0,13,100,1224000
lineal,10000,centro,1,5001,3700,0
binaria,10000,centro,1,13,200,1224000
lineal,10000,centro,2,5001,3700,0
binaria,10000,centro,2,13,100,1224000
lineal,10000,centro,3,5001,3600,0
binaria,10000,centro,3,13,100,1224000
lineal,10000,centro,4,5001,3700,0
binaria,10000,centro,4,13,100,1224000
