algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns,tiempo_orden_ns
binaria,10000,centro,10,12,5400,2943200
lineal,10000,centro,11,2187,13917200,0
binaria,10000,centro,11,12,15400,2943200
lineal,10000,centro,12,2187,1217500,0
binaria,10000,centro,12,12,12200,2943200
lineal,10000,centro,13,2187,441700,0
binaria,10000,centro,13,12,6200,2943200
lineal,10000,centro,14,2187,431800,0
binaria,10000,centro,14,12,6400,2943200
lineal,10000,centro,15,2187,437800,0
binaria,10000,centro,15,12,6000,2943200
lineal,10000,centro,16,2187,438300,0
binaria,10000,centro,16,12,7100,2943200
lineal,10000,centro,17,2187,3269600,0
binaria,10000,centro,17,12,12200,2943200
lineal,10000,centro,18,2187,406800,0
binaria,10000,centro,18,12,7900,2943200
lineal,10000,centro,19,2187,585100,0
binaria,10000,centro,19,12,9400,2943200
lineal,10000,centro,20,2187,382000,0
binaria,10000,centro,20,12,5800,2943200
lineal,10000,centro,21,2187,355200,0
binaria,10000,centro,21,12,5000,2943200
lineal,10000,centro,22,2187,351900,0
binaria,10000,centro,22,12,6400,2943200
lineal,10000,centro,23,2187,452100,0
binaria,10000,centro,23,12,7300,2943200
lineal,10000,centro,24,2187,433900,0
binaria,10000,centro,24,12,6500,2943200
lineal,10000,centro,25,2187,430400,0
binaria,10000,centro,25,12,6500,2943200
lineal,10000,centro,26,2187,434700,0
binaria,10000,centro,26,12,6600,2943200
lineal,10000,centro,27,2187,440300,0
binaria,10000,centro,27,12,6500,2943200
lineal,10000,centro,28,2187,448300,0
binaria,10000,centro,28,12,6600,2943200
lineal,10000,centro,29,2187,441500,0
binaria,10000,centro,29,12,6400,2943200
lineal,10000,final,0,4372,726200,0
binaria,10000,final,0,13,10900,2943200
lineal,10000,final,1,4372,548800,0
binaria,10000,final,1,13,4500,2943200
lineal,10000,final,2,4372,530000,0
binaria,10000,final,2,13,4000,2943200
lineal,10000,final,3,4372,501400,0
binaria,10000,final,3,13,4000,2943200
lineal,10000,final,4,4372,534200,0
binaria,10000,final,4,13,3800,2943200
lineal,10000,final,5,4372,543900,0
binaria,10000,final,5,13,4400,2943200
lineal,10000,final,6,4372,500800,0
binaria,10000,final,6,13,3800,2943200
lineal,10000,final,7,4372,587100,0
binaria,10000,final,7,13,6800,2943200
lineal,10000,final,8,4372,510300,0
binaria,10000,final,8,13,3900,2943200
lineal,10000,final,9,4372,528700,0
binaria,10000,final,9,13,4100,2943200
lineal,10000,final,10,4372,523900,0
binaria,10000,final,10,13,3900,2943200
lineal,10000,final,11,4372,564400,0
binaria,10000,final,11,13,4100,2943200
lineal,10000,final,12,4372,501900,0
binaria,10000,final,12,13,6100,2943200
lineal,10000,final,13,4372,536700,0
binaria,10000,final,13,13,4200,2943200
lineal,10000,final,14,4372,866500,0
binaria,10000,final,14,13,8100,2943200
lineal,10000,final,15,4372,527000,0
binaria,10000,final,15,13,4400,2943200
lineal,10000,final,16,4372,543100,0
binaria,10000,final,16,13,4400,2943200
lineal,10000,final,17,4372,526100,0
binaria,10000,final,17,13,4200,2943200
lineal,10000,final,18,4372,531800,0
binaria,10000,final,18,13,5900,2943200
lineal,10000,final,19,4372,547000,0
binaria,10000,final,19,13,4400,2943200
lineal,10000,final,20,4372,512800,0
binaria,10000,final,20,13,3800,2943200
lineal,10000,final,21,4372,508700,0
binaria,10000,final,21,13,3600,2943200
lineal,10000,final,22,4372,524600,0
binaria,10000,final,22,13,4100,2943200
lineal,10000,final,23,4372,563600,0
binaria,10000,final,23,13,4400,2943200
lineal,10000,final,24,4372,515700,0
binaria,10000,final,24,13,3800,2943200
lineal,10000,final,25,4372,507700,0
binaria,10000,final,25,13,3800,2943200
lineal,10000,final,26,4372,521600,0
binaria,10000,final,26,13,3900,2943200
lineal,10000,final,27,4372,533900,0
binaria,10000,final,27,13,4200,2943200
lineal,10000,final,28,4372,523300,0
binaria,10000,final,28,13,3800,2943200
lineal,10000,final,29,4372,556000,0
binaria,10000,final,29,13,4000,2943200
lineal,10000,ausente,0,4372,611300,0
binaria,10000,ausente,0,13,5300,2943200
lineal,10000,ausente,1,4372,495000,0
binaria,10000,ausente,1,13,4000,2943200
lineal,10000,ausente,2,4372,521500,0
binaria,10000,ausente,2,13,4200,2943200
lineal,10000,ausente,3,4372,512700,0
binaria,10000,ausente,3,13,4100,2943200
lineal,10000,ausente,4,4372,543200,0
binaria,10000,ausente,4,13,4300,2943200
lineal,10000,ausente,5,4372,489000,0
binaria,10000,ausente,5,13,3800,2943200
lineal,10000,ausente,6,4372,824500,0
binaria,10000,ausente,6,13,15000,2943200
lineal,10000,ausente,7,4372,1700300,0
binaria,10000,ausente,7,13,12600,2943200
lineal,10000,ausente,8,4372,716600,0
binaria,10000,ausente,8,13,6100,2943200
lineal,10000,ausente,9,4372,496600,0
binaria,10000,ausente,9,13,4200,2943200
lineal,10000,ausente,10,4372,540800,0
binaria,10000,ausente,10,13,4400,2943200
lineal,10000,ausente,11,4372,916100,0
binaria,10000,ausente,11,13,12100,2943200
lineal,10000,ausente,12,4372,517600,0
binaria,10000,ausente,12,13,4300,2943200
lineal,10000,ausente,13,4372,535600,0
binaria,10000,ausente,13,13,4400,2943200
lineal,10000,ausente,14,4372,501800,0
binaria,10000,ausente,14,13,4000,2943200
lineal,10000,ausente,15,4372,496700,0
binaria,10000,ausente,15,13,4300,2943200
lineal,10000,ausente,16,4372,482000,0
binaria,10000,ausente,16,13,4200,2943200
lineal,10000,ausente,17,4372,524400,0
binaria,10000,ausente,17,13,4400,2943200
lineal,10000,ausente,18,4372,500100,0
binaria,10000,ausente,18,13,3900,2943200
