algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns,tiempo_orden_ns
binaria,1000,final,10,10,7300,307200
lineal,1000,final,11,1000,149700,0
binaria,1000,final,11,10,3700,307200
lineal,1000,final,12,1000,122200,0
binaria,1000,final,12,10,3100,307200
lineal,1000,final,13,1000,111100,0
binaria,1000,final,13,10,3000,307200
lineal,1000,final,14,1000,109400,0
binaria,1000,final,14,10,3000,307200
lineal,1000,final,15,1000,111800,0
binaria,1000,final,15,10,3100,307200
lineal,1000,final,16,1000,109800,0
binaria,1000,final,16,10,2800,307200
lineal,1000,final,17,1000,131100,0
binaria,1000,final,17,10,3700,307200
lineal,1000,final,18,1000,138700,0
binaria,1000,final,18,10,4000,307200
lineal,1000,final,19,1000,129800,0
binaria,1000,final,19,10,3200,307200
lineal,1000,final,20,1000,107100,0
binaria,1000,final,20,10,3100,307200
lineal,1000,final,21,1000,135200,0
binaria,1000,final,21,10,3400,307200
lineal,1000,final,22,1000,117600,0
binaria,1000,final,22,10,3100,307200
lineal,1000,final,23,1000,131200,0
binaria,1000,final,23,10,3300,307200
lineal,1000,final,24,1000,116100,0
binaria,1000,final,24,10,5100,307200
lineal,1000,final,25,1000,113300,0
binaria,1000,final,25,10,3000,307200
lineal,1000,final,26,1000,106700,0
binaria,1000,final,26,10,3200,307200
lineal,1000,final,27,1000,107300,0
binaria,1000,final,27,10,3100,307200
lineal,1000,final,28,1000,123300,0
binaria,1000,final,28,10,3200,307200
lineal,1000,final,29,1000,112200,0
binaria,1000,final,29,10,3000,307200
lineal,1000,ausente,0,1000,117400,0
binaria,1000,ausente,0,10,4200,307200
lineal,1000,ausente,1,1000,110900,0
binaria,1000,ausente,1,10,3000,307200
lineal,1000,ausente,2,1000,112100,0
binaria,1000,ausente,2,10,2900,307200
lineal,1000,ausente,3,1000,111300,0
binaria,1000,ausente,3,10,3100,307200
lineal,1000,ausente,4,1000,111500,0
binaria,1000,ausente,4,10,2900,307200
lineal,1000,ausente,5,1000,111000,0
binaria,1000,ausente,5,10,2900,307200
lineal,1000,ausente,6,1000,112100,0
binaria,1000,ausente,6,10,2900,307200
lineal,1000,ausente,7,1000,110200,0
binaria,1000,ausente,7,10,3000,307200
lineal,1000,ausente,8,1000,111700,0
binaria,1000,ausente,8,10,3000,307200
lineal,1000,ausente,9,1000,126000,0
binaria,1000,ausente,9,10,3500,307200
lineal,1000,ausente,10,1000,109300,0
binaria,1000,ausente,10,10,3000,307200
lineal,1000,ausente,11,1000,107200,0
binaria,1000,ausente,11,10,3300,307200
lineal,1000,ausente,12,1000,106100,0
binaria,1000,ausente,12,10,3100,307200
lineal,1000,ausente,13,1000,106300,0
binaria,1000,ausente,13,10,3100,307200
lineal,1000,ausente,14,1000,113000,0
binaria,1000,ausente,14,10,2900,307200
lineal,1000,ausente,15,1000,106700,0
binaria,1000,ausente,15,10,3100,307200
lineal,1000,ausente,16,1000,106300,0
binaria,1000,ausente,16,10,3000,307200
lineal,1000,ausente,17,1000,107100,0
binaria,1000,ausente,17,10,3200,307200
lineal,1000,ausente,18,1000,109000,0
binaria,1000,ausente,18,10,3100,307200
lineal,1000,ausente,19,1000,109300,0
binaria,1000,ausente,19,10,3100,307200
lineal,1000,ausente,20,1000,125200,0
binaria,1000,ausente,20,10,3100,307200
lineal,1000,ausente,21,1000,116700,0
binaria,1000,ausente,21,10,3300,307200
